diagnostic_type,state_mode,fee_rate,strategy_name,segment_name,segment_start_date,segment_end_date,segment_days,segment_total_return,segment_annualized_return,segment_max_drawdown,segment_sharpe,segment_total_turnover,segment_average_exposure,segment_total_fee_cost,segment_trade_count,segment_average_drawdown,segment_pct_position_gt_0,segment_pct_position_gt_0_05,segment_pct_position_gt_0_10,segment_pct_position_gt_0_20,segment_pct_rho_gt_0_5,gross_position_return,net_strategy_return,total_fee_cost,fee_drag,average_position_when_market_return_negative,average_position_when_market_return_positive,total_pnl_from_negative_return_days,total_pnl_from_positive_return_days
segment_metrics,continuous_state_segment_metrics,0.0,v4.1_default,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.04152542530778014,-0.020982852707768007,0.04787560649918665,-0.5473470324038372,4.491532016838663,0.0226752075696696,0.0,368.0,0.03383649643035156,0.4712328767123288,0.20273972602739726,0.03561643835616438,0.0,0.0,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.1_default,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.040992766346926765,-0.04152542530778014,0.0,0.0005326589608533744,0.024753976883863445,0.020619095141733997,-0.2656373174162491,0.2246445510693223
segment_metrics,continuous_state_segment_metrics,0.0,v4.1_default,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.07781259656658834,0.025292431831441364,0.05040112149350451,0.8028665078281354,6.888397777521582,0.027990782785772432,0.0,581.0,0.032413125999888354,0.4986301369863014,0.228310502283105,0.07123287671232877,0.0091324200913242,0.0,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.1_default,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.07644345147287564,0.07781259656658834,0.0,-0.0013691450937127064,0.027230124056795816,0.02872818396368322,-0.32697797000808354,0.40342142148095916
segment_metrics,continuous_state_segment_metrics,0.0,v4.1_default,ETH_5y_full,2021-05-18,2026-05-16,1825,0.033055970092077835,0.006525472877574545,0.05040112149350451,0.20757818487843793,11.379929794360244,0.025864552699331297,0.0,949.0,0.03298247417207363,0.4876712328767123,0.21808219178082192,0.05698630136986301,0.005479452054794521,0.0,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.1_default,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.03545068512594887,0.033055970092077835,0.0,0.0023947150338710366,0.026233625804274248,0.025503876707285208,-0.5926152874243326,0.6280659725502815
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_A,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.06327437373201461,-0.032154130934069935,0.13957977749969086,-0.25396586813652006,13.966877553719769,0.07703576897585507,0.0,368.0,0.0913416998056898,0.4712328767123288,0.39452054794520547,0.3219178082191781,0.15753424657534246,0.37534246575342467,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_A,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.05398830648767465,-0.06327437373201461,0.0,0.00928606724433996,0.08308206387866407,0.07105537374501125,-0.8478187218888056,0.7938304154011311
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_A,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.1981549998161667,0.06211367725901562,0.14733742716520226,0.6792419408772022,20.266614449374686,0.08547115918232895,0.0,581.0,0.09993962083459736,0.4986301369863014,0.4100456621004566,0.3333333333333333,0.16255707762557078,0.5552511415525114,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_A,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.19437052807426686,0.1981549998161667,0.0,-0.003784471741899831,0.08417689995106252,0.0867258457392581,-1.0272981998177309,1.2216687278919978
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_A,ETH_5y_full,2021-05-18,2026-05-16,1825,0.12234249256891672,0.02335209073647415,0.14733742716520226,0.2809935517379173,34.233492003094455,0.0820970030997394,0.0,949.0,0.09650045242303433,0.4876712328767123,0.40383561643835614,0.3287671232876712,0.16054794520547946,0.4832876712328767,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_A,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.14038222158659225,0.12234249256891672,0.0,0.018039729017675532,0.08373629519021923,0.08049500801240156,-1.8751169217065367,2.015499143293129
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.0760275099778881,-0.03876512234412144,0.1313630067427639,-0.34407234766784056,13.509844666403971,0.06891128155689585,0.0,320.0,0.08795939885676508,0.4123287671232877,0.363013698630137,0.27945205479452057,0.14657534246575343,0.3452054794520548,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.06895147136317224,-0.0760275099778881,0.0,0.007076038614715854,0.07515750338470824,0.06273313844110323,-0.7672358270578103,0.6982843556946381
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19567940859780242,0.06138167061133193,0.14223571474992824,0.6998203709210274,18.899570330202103,0.07658699260508772,0.0,522.0,0.09654323642794187,0.4392694063926941,0.3698630136986301,0.3013698630136986,0.14520547945205478,0.5251141552511416,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.19108529710108957,0.19567940859780242,0.0,-0.004594111496712849,0.07517333500720563,0.07795742685914965,-0.9238328006849986,1.1149180977860884
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10477488043027772,0.02012821177896562,0.14223571474992824,0.25758568531000386,32.409414996606074,0.07351670818581098,0.0,842.0,0.09310970139947115,0.4284931506849315,0.36712328767123287,0.2926027397260274,0.14575342465753424,0.45315068493150684,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.12213382573791735,0.10477488043027772,0.0,0.017358945307639637,0.07516696374449326,0.07190399906995892,-1.6910686277428089,1.8132024534807265
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.07579753427853164,-0.03864550465425687,0.13084034300447434,-0.34319113645363974,13.354775526735288,0.06903845259761346,0.0,275.0,0.0876979716758526,0.40684931506849314,0.363013698630137,0.27945205479452057,0.14794520547945206,0.3424657534246575,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.06871904329902484,-0.07579753427853164,0.0,0.007078490979506802,0.07532699645195301,0.06281844873078712,-0.7670424043790175,0.6983233610799926
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.192649662210729,0.060484429761324066,0.1420815497821023,0.691777475532133,18.35745280052502,0.07653187353930813,0.0,417.0,0.0967015899407587,0.5031963470319635,0.3680365296803653,0.30319634703196346,0.14703196347031963,0.5278538812785388,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.18849758804587552,0.192649662210729,0.0,-0.00415207416485347,0.07513686841392979,0.0778842256302774,-0.9240037224095305,1.1125013104554062
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10224975855703211,0.019661454899975617,0.1420815497821023,0.25300165257496243,31.71222832726031,0.07353450516263024,0.0,692.0,0.09310014263479625,0.46465753424657535,0.36602739726027395,0.2936986301369863,0.1473972602739726,0.4536986301369863,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.11977854474685072,0.10224975855703211,0.0,0.01752878618981861,0.07521338335606109,0.07189382463123847,-1.6910461267885482,1.8108246715353988
segment_metrics,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.44490039634304246,-0.25494993211398365,0.7930253453633334,0.10274739407227075,0.0,1.0,0.0,0.0,0.46977675565264493,1.0,1.0,1.0,1.0,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,0.17896882028160732,-0.44490039634304246,0.0,0.6238692166246498,1.0,1.0,-11.730490544480467,11.909459364762077
segment_metrics,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19790134568524587,0.06203872075346961,0.6935490580243677,0.41454423275220087,0.0,1.0,0.0,0.0,0.43510677486409105,1.0,1.0,1.0,1.0,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.8087453625948278,0.19790134568524587,0.0,0.6108440169095819,1.0,1.0,-12.378185469971548,13.186930832566375
segment_metrics,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,-0.33504543778998397,-0.07836619932451394,0.7930253453633334,0.2646495106534417,0.0,1.0,0.0,0.0,0.4489747671795126,1.0,1.0,1.0,1.0,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,true_buy_and_hold,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.9877141828764351,-0.33504543778998397,0.0,1.3227596206664192,1.0,1.0,-24.108676014452016,25.09639019732845
segment_metrics,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.1085258250785669,-0.055820898917248285,0.5193367154482997,0.08658107045245496,0.5,0.49931506849315066,0.0,1.0,0.2547113348615249,1.0,1.0,1.0,1.0,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,0.07538544319173113,-0.1085258250785669,0.0,0.18391126827029802,0.5,0.4986376021798365,-5.865245272240234,5.940630715431966
segment_metrics,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.279773886054133,0.08570310873977882,0.3778080637128193,0.4145442327521984,0.0,0.5,0.0,0.0,0.18603651563897214,1.0,1.0,1.0,1.0,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.4043726812974139,0.279773886054133,0.0,0.12459879524328088,0.5,0.5,-6.189092734985774,6.593465416283188
segment_metrics,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,0.14088536915610428,0.026711442424711462,0.5193367154482997,0.2571294259174581,0.5,0.4997260273972603,0.0,1.0,0.21350644332799326,1.0,1.0,1.0,1.0,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,fixed_0_5_exposure,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.479758124489145,0.14088536915610428,0.0,0.33887275533304073,0.5,0.49945828819068255,-12.054338007226008,12.534096131715152
segment_metrics,reset_state_segment_metrics,0.0,v4.1_default,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.04152542530778014,-0.020982852707768007,0.04787560649918665,-0.5473470324038372,4.491532016838663,0.0226752075696696,0.0,368.0,0.03383649643035156,0.4712328767123288,0.20273972602739726,0.03561643835616438,0.0,0.0,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.1_default,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.040992766346926765,-0.04152542530778014,0.0,0.0005326589608533744,0.024753976883863445,0.020619095141733997,-0.2656373174162491,0.2246445510693223
segment_metrics,reset_state_segment_metrics,0.0,v4.1_default,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.07829964656231292,0.02544684750491677,0.03985438490827464,0.7833640792271728,7.476262041810395,0.029389734719718574,0.0,581.0,0.023888443727335503,0.4986301369863014,0.2447488584474886,0.07671232876712329,0.0091324200913242,0.0,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.1_default,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.07699376638863845,0.07829964656231292,0.0,-0.001305880173674473,0.02873384642808142,0.03002556887294237,-0.34144913065983484,0.41844289704847326
segment_metrics,reset_state_segment_metrics,0.0,v4.1_default,ETH_5y_full,2021-05-18,2026-05-16,1825,0.033055970092077835,0.006525472877574545,0.05040112149350451,0.20757818487843793,11.379929794360244,0.025864552699331297,0.0,949.0,0.03298247417207363,0.4876712328767123,0.21808219178082192,0.05698630136986301,0.005479452054794521,0.0,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.1_default,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.03545068512594887,0.033055970092077835,0.0,0.0023947150338710366,0.026233625804274248,0.025503876707285208,-0.5926152874243326,0.6280659725502815
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_A,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.06327437373201461,-0.032154130934069935,0.13957977749969086,-0.25396586813652006,13.966877553719769,0.07703576897585507,0.0,368.0,0.0913416998056898,0.4712328767123288,0.39452054794520547,0.3219178082191781,0.15753424657534246,0.37534246575342467,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_A,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.05398830648767465,-0.06327437373201461,0.0,0.00928606724433996,0.08308206387866407,0.07105537374501125,-0.8478187218888056,0.7938304154011311
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_A,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.25205507934490035,0.07780735969097341,0.11949487258634417,0.746843892468996,24.49267387678419,0.10120808871192175,0.0,581.0,0.07499992025720904,0.4995433789954338,0.4228310502283105,0.35251141552511417,0.2182648401826484,0.31232876712328766,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_A,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,0.24219616868814914,0.25205507934490035,0.0,-0.009858910656751207,0.0994001156538919,0.10296078201817732,-1.1732144581083834,1.4154106267965327
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_A,ETH_5y_full,2021-05-18,2026-05-16,1825,0.12234249256891672,0.02335209073647415,0.14733742716520226,0.2809935517379173,34.233492003094455,0.0820970030997394,0.0,949.0,0.09650045242303433,0.4876712328767123,0.40383561643835614,0.3287671232876712,0.16054794520547946,0.4832876712328767,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_A,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,0.14038222158659225,0.12234249256891672,0.0,0.018039729017675532,0.08373629519021923,0.08049500801240156,-1.8751169217065367,2.015499143293129
segment_metrics,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.0760275099778881,-0.03876512234412144,0.1313630067427639,-0.34407234766784056,13.509844666403971,0.06891128155689585,0.0,320.0,0.08795939885676508,0.4123287671232877,0.363013698630137,0.27945205479452057,0.14657534246575343,0.3452054794520548,,,,,,,,
pnl_attribution,reset_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,-0.06895147136317224,-0.0760275099778881,0.0,0.007076038614715854,0.07515750338470824,0.06273313844110323,-0.7672358270578103,0.6982843556946381
