fee_rate,strategy_name,segment_name,horizon,diagnostic,value,count
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.0033564999376099742,43
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,0.03447309580207243,40
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,0.011272018072764995,114
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_tau:tau_gt_0_5,-0.007788546085867925,147
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_eq_0,0.010483313794526326,429
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_to_0_05,0.03150566560409954,36
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_05_to_0_10,0.005296525327944237,61
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_0_10_to_0_20,-0.0046573414446653095,97
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_position:position_gt_0_20,0.004798950758279202,107
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_extra_early_2y,20d,avg_forward_return_conditional_gate:gate_gt_0_75,0.008241587993982632,730
0.0,v4.2_candidate_C,ETH_3y_recent,1d,pct_tau_gt_0_25_and_forward_negative,0.17824497257769653,195
0.0,v4.2_candidate_C,ETH_3y_recent,1d,pct_position_gt_0_10_and_forward_negative,0.1416819012797075,155
0.0,v4.2_candidate_C,ETH_3y_recent,1d,pct_gate_gt_0_5_and_forward_negative,0.49177330895795246,538
0.0,v4.2_candidate_C,ETH_3y_recent,1d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_tau:tau_le_0,0.00038609852544798637,548
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_tau:tau_0_to_0_1,-3.435486993658912e-05,65
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,-0.00028945258061500366,85
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.00021551620125283857,141
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_tau:tau_gt_0_5,0.0026126276941504573,255
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_position:position_eq_0,0.00034151537585582094,613
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_position:position_0_to_0_05,-8.312874584804371e-05,76
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_position:position_0_05_to_0_10,-0.005712257307964901,75
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_position:position_0_10_to_0_20,0.004747395999601293,171
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_position:position_gt_0_20,0.0014727117932669107,159
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_gate:gate_eq_0,,0
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_gate:gate_0_to_0_25,,0
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_gate:gate_0_25_to_0_50,,0
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_gate:gate_0_50_to_0_75,,0
0.0,v4.2_candidate_C,ETH_3y_recent,1d,avg_forward_return_conditional_gate:gate_gt_0_75,0.0007500710545512425,1094
0.0,v4.2_candidate_C,ETH_3y_recent,5d,pct_tau_gt_0_25_and_forward_negative,0.18807339449541285,205
0.0,v4.2_candidate_C,ETH_3y_recent,5d,pct_position_gt_0_10_and_forward_negative,0.14403669724770643,157
0.0,v4.2_candidate_C,ETH_3y_recent,5d,pct_gate_gt_0_5_and_forward_negative,0.4908256880733945,535
0.0,v4.2_candidate_C,ETH_3y_recent,5d,pct_gate_eq_0_and_forward_negative,0.0,0
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_tau:tau_le_0,0.0015915932218139796,546
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_tau:tau_0_to_0_1,0.014003742716204677,63
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_tau:tau_0_1_to_0_25,-0.004221938877978432,85
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_tau:tau_0_25_to_0_5,-0.006180333306950513,141
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_tau:tau_gt_0_5,0.0138806391136254,255
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_position:position_eq_0,0.0028756086867509486,609
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_position:position_0_to_0_05,5.183305269262478e-05,76
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_position:position_0_05_to_0_10,-0.013658465527668287,75
0.0,v4.2_candidate_C,ETH_3y_recent,5d,avg_forward_return_conditional_position:position_0_10_to_0_20,0.005180943578409196,171
