fee_rate,strategy_name,segment_name,drawdown_threshold,episode_start_date,episode_end_date,max_drawdown_in_episode,average_tau_during_episode,average_position_during_episode,average_gate_during_episode,average_base_exposure_C_during_episode,average_base_exposure_E_during_episode,average_unsmoothed_target_during_episode
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-05-19,2021-07-31,0.0554744049753042,-0.3298036698055859,0.004688661420078468,1.0,0.010616746770414938,0.010616746770414938,0.004688661420078468
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-08-03,2021-08-03,0.05291641657130375,0.37712403971348923,0.12821875989115605,1.0,0.30791559968165466,0.30791559968165466,0.12821875989115605
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-09-07,2021-09-07,0.053280889483503846,0.4310913129854109,0.20600604967004427,1.0,0.3678792366504566,0.3678792366504566,0.13504313849667776
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-09-09,2021-10-19,0.0706070188190322,0.25567862955500364,0.09553686871955322,1.0,0.2441349139516154,0.2441349139516154,0.09553686871955322
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-10-22,2021-10-22,0.05429458098924911,0.6045718276890182,0.2240180513807447,1.0,0.5606353640989091,0.5606353640989091,0.2240180513807447
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-10-27,2021-10-27,0.05982526589299231,0.48037705919199636,0.15501208134749261,1.0,0.422641176879996,0.422641176879996,0.15501208134749261
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.05,2021-11-16,2023-05-17,0.1313630067427639,-0.06907952624799414,0.04774934454504695,1.0,0.14165188175407295,0.14165188175407295,0.04769974439818748
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2022-08-03,2022-08-04,0.10057939385544634,0.2556023118208729,0.05320143497773412,1.0,0.17289145757874763,0.17289145757874763,0.05320143497773412
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2022-08-09,2022-08-09,0.10093868927106509,0.36288214519741185,0.09035010734276118,1.0,0.2920912724415687,0.2920912724415687,0.09035010734276118
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2022-08-19,2023-01-14,0.1313630067427639,-0.14931695933429107,0.020864551264504216,1.0,0.06404281307397688,0.06404281307397688,0.020864551264504216
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2023-01-18,2023-01-19,0.10771800440921164,0.7438114191422958,0.24997973753281133,1.0,0.7153460212692175,0.7153460212692175,0.24997973753281133
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2023-01-24,2023-01-24,0.10190131586333417,0.6424767331966584,0.18092869662952912,1.0,0.6027519257740649,0.6027519257740649,0.18092869662952912
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2023-01-28,2023-01-28,0.10101978416286705,0.6424149924110027,0.19399038242879357,1.0,0.6026833249011142,0.6026833249011142,0.19399038242879357
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2023-01-30,2023-01-31,0.10358013910911512,0.5665005078882753,0.1531701999000747,1.0,0.5183338976536392,0.5183338976536392,0.1531701999000747
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2023-02-06,2023-02-06,0.1004865263240271,0.6037204849017495,0.18672328069954072,1.0,0.5596894276686105,0.5596894276686105,0.18672328069954072
0.0,v4.2_candidate_C,ETH_extra_early_2y,0.1,2023-02-09,2023-04-13,0.12102860425677298,0.38272877017204904,0.10636692252742859,1.0,0.342551694024388,0.342551694024388,0.10636692252742859
