diagnostic_type,state_mode,fee_rate,strategy_name,segment_name,segment_start_date,segment_end_date,segment_days,segment_total_return,segment_annualized_return,segment_max_drawdown,segment_sharpe,segment_total_turnover,segment_average_exposure,segment_total_fee_cost,segment_trade_count,segment_average_drawdown,segment_pct_position_gt_0,segment_pct_position_gt_0_05,segment_pct_position_gt_0_10,segment_pct_position_gt_0_20,segment_pct_rho_gt_0_5,segment_trend_persistence_gate_mean,segment_trend_persistence_gate_median,segment_pct_gate_eq_0,segment_pct_gate_gt_0,segment_pct_gate_gt_0_5,segment_base_exposure_C_mean,segment_base_exposure_E_mean,segment_exposure_reduction_from_gate_mean,gross_position_return,net_strategy_return,total_fee_cost,fee_drag,average_position_when_market_return_negative,average_position_when_market_return_positive,total_pnl_from_negative_return_days,total_pnl_from_positive_return_days
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.0760275099778881,-0.03876512234412144,0.1313630067427639,-0.34407234766784056,13.509844666403971,0.06891128155689585,0.0,320.0,0.08795939885676508,0.4123287671232877,0.363013698630137,0.27945205479452057,0.14657534246575343,0.3452054794520548,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06895147136317224,-0.0760275099778881,0.0,0.007076038614715854,0.07515750338470824,0.06273313844110323,-0.7672358270578103,0.6982843556946381
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.19567940859780242,0.06138167061133193,0.14223571474992824,0.6998203709210274,18.899570330202103,0.07658699260508772,0.0,522.0,0.09654323642794187,0.4392694063926941,0.3698630136986301,0.3013698630136986,0.14520547945205478,0.5251141552511416,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.19108529710108957,0.19567940859780242,0.0,-0.004594111496712849,0.07517333500720563,0.07795742685914965,-0.9238328006849986,1.1149180977860884
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10477488043027772,0.02012821177896562,0.14223571474992824,0.25758568531000386,32.409414996606074,0.07351670818581098,0.0,842.0,0.09310970139947115,0.4284931506849315,0.36712328767123287,0.2926027397260274,0.14575342465753424,0.45315068493150684,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_C,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.12213382573791735,0.10477488043027772,0.0,0.017358945307639637,0.07516696374449326,0.07190399906995892,-1.6910686277428089,1.8132024534807265
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,-0.07579753427853164,-0.03864550465425687,0.13084034300447434,-0.34319113645363974,13.354775526735288,0.06903845259761346,0.0,275.0,0.0876979716758526,0.40684931506849314,0.363013698630137,0.27945205479452057,0.14794520547945206,0.3424657534246575,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_extra_early_2y,2021-05-18,2023-05-17,730,,,,,,,,,,,,,,,,,,,,,,,-0.06871904329902484,-0.07579753427853164,0.0,0.007078490979506802,0.07532699645195301,0.06281844873078712,-0.7670424043790175,0.6983233610799926
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,0.192649662210729,0.060484429761324066,0.1420815497821023,0.691777475532133,18.35745280052502,0.07653187353930813,0.0,417.0,0.0967015899407587,0.5031963470319635,0.3680365296803653,0.30319634703196346,0.14703196347031963,0.5278538812785388,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_3y_recent,2023-05-18,2026-05-16,1095,,,,,,,,,,,,,,,,,,,,,,,0.18849758804587552,0.192649662210729,0.0,-0.00415207416485347,0.07513686841392979,0.0778842256302774,-0.9240037224095305,1.1125013104554062
segment_metrics,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,0.10224975855703211,0.019661454899975617,0.1420815497821023,0.25300165257496243,31.71222832726031,0.07353450516263024,0.0,692.0,0.09310014263479625,0.46465753424657535,0.36602739726027395,0.2936986301369863,0.1473972602739726,0.4536986301369863,,,,,,,,,,,,,,,,
pnl_attribution,continuous_state_segment_metrics,0.0,v4.2_candidate_D,ETH_5y_full,2021-05-18,2026-05-16,1825,,,,,,,,,,,,,,,,,,,,,,,0.11977854474685072,0.10224975855703211,0.0,0.01752878618981861,0.07521338335606109,0.07189382463123847,-1.6910461267885482,1.8108246715353988
