fee_rate,strategy_name,segment_name,drawdown_threshold,episode_start_date,episode_end_date,max_drawdown_in_episode,average_tau_during_episode,average_position_during_episode,average_base_exposure_during_episode,average_unsmoothed_target_during_episode,average_market_risk_multiplier_during_episode,average_portfolio_risk_multiplier_during_episode,days_until_position_halved_from_episode_start,days_until_position_below_0_05_from_episode_start
0.0,v4.1_default,ETH_3y_recent,0.05,2023-10-02,2023-10-22,0.05040112149350451,-0.06782900715445649,0.0009667644369674553,0.001507342381159537,0.0009667644369674553,0.702875962941977,0.8109957943993581,0.0,0.0
0.0,v4.1_default,ETH_5y_full,0.05,2023-10-02,2023-10-22,0.05040112149350451,-0.06782900715445649,0.0009667644369674553,0.001507342381159537,0.0009667644369674553,0.702875962941977,0.8109957943993581,0.0,0.0
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.05,2021-05-19,2021-07-30,0.0554744049753042,-0.3401623463024371,0.004681963478235663,0.010694460554042282,0.004681963478235663,0.5,0.7922934477533572,0.0,0.0
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.05,2021-09-07,2021-10-19,0.07599978068273938,0.26490443217061294,0.11728885791541273,0.30161073878937533,0.1159211845263885,0.5,0.7479653111869186,3.0,13.0
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.05,2021-10-21,2021-10-22,0.05546619080830861,0.631767002998231,0.2583586769776895,0.631767002998231,0.2583586769776895,0.5,0.801816060095558,,
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.05,2021-10-24,2021-10-24,0.050228119813347405,0.6466049280686333,0.2648351199980263,0.6466049280686333,0.2648351199980263,0.5,0.8116445506999472,,
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.05,2021-10-27,2021-10-27,0.06103424460108675,0.48037705919199636,0.17515805756512154,0.48037705919199636,0.17515805756512154,0.5,0.7711215827459247,,
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.05,2021-11-16,2023-05-17,0.13957977749969086,-0.06907952624799414,0.05486326313912537,0.1677256191663429,0.05483087332721038,0.5126153288649414,0.6026211726954032,2.0,2.0
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.1,2022-07-25,2022-07-27,0.10476563094139812,0.11921293850318791,0.038338935861844725,0.11921293850318791,0.038338935861844725,0.5,0.6083624152883272,,0.0
0.0,v4.2_candidate_A,ETH_extra_early_2y,0.1,2022-07-30,2022-08-07,0.10605461893431278,0.3358401443425502,0.10425912120278562,0.3358401443425502,0.10425912120278562,0.5,0.6111303998599538,,
